route_id,zone,population,risk_level,road_capacity,distance_km,avg_speed_kmph,evac_time_min
R52,D,992,0.68,488,25.5,53.4,34.5
R93,A,3462,0.89,415,4.0,58.7,7.5
R15,D,1405,0.95,142,26.7,37.5,85.0
R72,D,3308,0.71,469,9.2,35.7,26.4
R61,A,2461,0.34,459,18.6,53.9,31.8
R21,B,453,0.85,358,28.2,37.1,51.4
R83,B,3999,0.14,194,21.0,42.1,91.6
R87,D,4710,0.3,135,13.6,29.2,125.4
R75,A,4086,0.86,202,21.3,49.7,77.7
R75,B,1364,0.32,51,11.6,41.3,61.9
R88,A,4500,0.29,391,9.8,52.4,24.1
R100,A,2213,0.22,438,29.9,51.2,52.7
R24,A,1516,0.83,309,23.0,28.6,71.9
R3,E,2701,0.53,213,20.1,48.6,56.3
R22,A,2072,0.67,55,11.9,52.0,65.5
R53,E,2260,0.3,198,3.4,33.8,12.9
R2,D,3080,0.74,254,2.9,26.9,14.3
R88,B,3171,0.75,167,17.5,20.1,151.4
R30,B,960,0.37,138,23.3,38.0,62.4
R38,B,2935,0.45,203,17.0,34.1,73.2
R2,B,2629,0.28,488,25.5,42.2,55.8
R64,B,4254,0.93,216,2.9,27.5,18.8
R60,B,2750,0.65,210,12.3,54.4,31.3
R21,B,1432,0.89,319,8.6,30.3,24.7
R33,D,999,0.36,105,14.5,29.1,58.3
R76,A,2338,0.76,277,4.0,39.2,11.3
R58,C,4947,0.75,386,28.7,40.0,98.2
R22,E,4800,0.69,198,8.3,28.6,59.6
R89,C,4857,0.92,95,27.8,30.9,330.0
R49,C,2479,0.43,193,13.9,26.8,71.1
R91,A,3138,0.21,287,29.6,48.7,76.3
R59,A,1173,0.67,321,17.5,50.8,28.2
R42,A,383,0.72,169,28.1,38.5,53.7
R92,B,1722,0.59,389,2.1,48.6,3.7
R60,D,2975,0.28,462,23.0,49.4,45.9
R80,B,3480,0.53,269,27.3,25.5,147.3
R15,D,4616,0.37,57,5.9,58.6,55.0
R62,D,4275,0.46,393,4.7,52.8,11.2
R62,C,1691,0.65,436,13.9,28.2,41.0
R47,C,3518,0.73,324,28.1,27.4,128.3
R62,D,4507,0.3,402,17.2,25.0,87.6
R51,D,914,0.44,115,16.8,25.5,70.9
R55,B,3271,0.33,128,6.0,49.9,25.7
R64,B,3865,0.27,135,2.0,38.8,11.9
R3,C,3876,0.77,173,24.7,51.3,93.6
R51,A,4870,0.87,251,4.5,49.9,15.9
R7,D,570,0.41,199,19.7,44.2,34.4
R21,B,4366,0.74,95,27.6,47.5,195.1
R73,C,2768,0.86,162,7.8,20.7,61.2
R39,B,1690,0.82,140,20.6,32.5,83.9
R18,D,3654,0.26,190,4.2,45.5,16.2
R4,D,4435,0.91,338,18.9,20.4,128.5
R89,E,3907,0.42,438,6.6,21.3,35.2
R60,A,2883,0.39,267,22.6,54.1,52.1
R14,E,4373,0.15,126,10.4,47.4,58.9
R9,C,3375,0.51,460,15.0,30.6,51.0
R90,B,4206,0.19,426,18.8,47.5,47.2
R53,C,589,0.31,433,6.8,51.7,9.0
R2,D,2780,0.37,383,22.8,32.3,73.1
R84,E,3552,0.79,201,10.5,21.4,81.5
R92,E,578,0.84,372,20.5,57.3,24.8
R60,E,3224,0.36,288,6.4,33.8,24.1
R71,C,880,0.83,164,21.3,24.3,80.8
R44,D,553,0.83,368,5.6,39.7,9.7
R8,B,4576,0.75,418,13.9,50.7,34.5
R47,B,1124,0.22,143,8.9,28.9,33.0
R35,C,4132,0.69,97,23.0,30.8,235.7
R78,E,999,0.9,240,9.3,29.7,26.6
R81,A,1680,0.68,61,26.7,59.7,100.7
R36,C,4196,0.38,205,27.0,27.9,176.9
R50,C,1973,0.53,221,7.5,43.0,19.8
R4,D,3027,0.65,476,19.2,57.0,33.1
R2,B,3456,0.53,450,4.5,25.9,18.4
R6,C,3688,0.2,345,13.0,58.8,27.4
R54,C,4607,0.37,226,22.0,57.9,69.3
R4,E,683,0.78,390,20.5,55.4,26.1
R54,E,641,0.83,106,19.5,28.6,65.6
R93,A,2287,0.22,392,9.9,45.4,20.7
R63,D,4359,0.91,389,12.6,50.4,31.8
R18,A,3409,0.38,497,4.9,59.4,8.3
R90,E,4382,0.66,252,22.1,27.2,133.5
R44,B,4815,0.74,234,16.1,50.6,58.4
R34,E,3098,0.79,170,21.8,33.6,109.9
R74,D,3540,0.9,275,9.0,27.0,45.7
R62,E,2288,0.37,251,11.1,36.9,34.5
R100,D,3714,0.83,379,11.4,51.8,26.1
R14,D,2149,0.21,412,2.7,38.6,6.4
R95,D,605,0.7,429,11.5,41.5,19.0
R48,D,3913,0.73,405,24.5,59.8,48.3
R15,D,3049,0.68,265,27.1,36.0,97.1
R72,B,1435,0.31,92,16.5,44.6,56.8
R78,A,505,0.84,424,14.8,34.6,28.7
R87,C,4891,0.24,72,2.9,35.7,38.0
R62,A,3750,0.15,204,26.6,47.8,94.8
R40,D,4111,0.71,235,2.4,57.5,6.9
R85,B,3922,0.5,298,28.5,41.7,95.0
R80,E,3899,0.82,286,15.7,50.7,43.9
R82,B,2851,0.43,342,11.6,23.6,54.1
R53,D,4608,0.24,183,27.9,28.4,207.4
R24,B,609,0.81,370,2.7,40.1,4.7
R26,B,3008,0.57,439,18.3,20.8,89.0
R89,D,2291,0.26,483,17.4,30.1,51.1
R60,B,571,0.71,71,8.1,40.7,21.5
R41,C,3942,0.53,410,14.0,20.6,80.0
